"","time","Temperature","Salinity","depth_bin","year","month"
"1",1979-01-23,4.47487745848156,32.9145825965518,50,1979,1
"2",1989-01-11,4.88034564574412,32.8093754028237,50,1989,1
"3",1990-01-07,3.79305105371309,32.9266193088374,50,1990,1
"4",1991-01-06,6.50010450116361,32.8125107858961,50,1991,1
"5",1992-01-10,5.94662446642693,32.3142518104789,50,1992,1
"6",1993-01-09,5.43174196761895,32.2998044528102,50,1993,1
"7",1994-01-12,4.16630448474829,32.2228120258068,50,1994,1
"8",1995-01-16,6.51448552714696,32.7797015414237,50,1995,1
"9",1996-01-17,5.2800498218731,32.4927444210442,50,1996,1
"10",1997-01-26,5.24992994303286,32.2142113107203,50,1997,1
"11",1998-01-23,4.83747339630687,31.890153563973,50,1998,1
"12",1999-01-22,5.09605443935401,32.3413980294141,50,1999,1
"13",2002-01-26,5.99694827820913,32.678879474446,50,2002,1
"14",2003-01-25,4.59983815034251,33.3893571970414,50,2003,1
"15",2004-01-26,4.77598942194055,33.2610855839683,50,2004,1
"16",2005-01-29,3.95833698025486,32.108356565101,50,2005,1
"17",2006-01-27,5.81175219537236,32.5642960778916,50,2006,1
"18",2007-01-30,6.30875800986548,33.0578254195254,50,2007,1
"19",1984-02-13,4.0032524841093,32.1448309946339,50,1984,2
"20",1985-02-12,3.16646323231766,32.095054592924,50,1985,2
"21",1987-02-09,4.65824122772404,32.7184379747429,50,1987,2
"22",1990-02-24,3.43628689021393,32.8444426352622,50,1990,2
"23",1991-02-09,4.89384998341123,32.8415110074007,50,1991,2
"24",1992-02-06,4.21421439496468,32.5194255200834,50,1992,2
"25",1995-02-17,4.35281767631064,32.4855576713718,50,1995,2
"26",1996-02-21,4.16493196268471,32.4401191983904,50,1996,2
"27",1997-02-19,4.08491632264878,32.0050451258525,50,1997,2
"28",1998-02-17,4.75979561834578,32.3123615449775,50,1998,2
"29",1999-02-18,4.90128874934659,32.3879941151585,50,1999,2
"30",2000-02-23,5.06794110575501,33.0356888624697,50,2000,2
"31",2001-02-22,5.88940722335764,33.0200000602048,50,2001,2
"32",2002-02-26,6.14691343550779,33.1137012738598,50,2002,2
"33",2003-02-26,5.23630670771307,33.478957665891,50,2003,2
"34",2004-02-14,4.75734004020691,33.330599899292,50,2004,2
"35",2005-02-08,4.75947620894928,32.348295578198,50,2005,2
"36",2006-02-04,7.49536299211008,33.1534252237391,50,2006,2
"37",2007-02-03,6.10088553968072,33.0505637738021,50,2007,2
"38",2008-02-13,4.68735165356343,32.8924882709657,50,2008,2
"39",2009-02-10,4.47610721608029,32.8316941800387,50,2009,2
"40",2010-02-16,4.68725594764815,32.5674708307943,50,2010,2
"41",2011-02-14,4.29781672301478,32.1811922671641,50,2011,2
"42",2012-02-11,6.10977163690409,32.6266598290788,50,2012,2
"43",2013-02-19,5.82863886015136,33.1501644497776,50,2013,2
"44",2017-02-21,5.94517412940488,32.9289885722069,50,2017,2
"45",1979-03-23,3.39302499901436,33.0833671969763,50,1979,3
"46",1984-03-25,2.81572135485008,32.6042163024634,50,1984,3
"47",1985-03-21,3.15581426463014,31.8930092349647,50,1985,3
"48",1991-03-28,4.54196758526277,32.7344891147745,50,1991,3
"49",1992-03-26,3.78558087659684,32.4589278493219,50,1992,3
"50",1995-03-19,4.69388436193099,32.7224040992892,50,1995,3
"51",1996-03-20,4.20069998502731,32.4989099566142,50,1996,3
"52",1997-03-26,3.91258786272423,32.0736519858424,50,1997,3
"53",1998-03-22,4.08547857076051,31.6251985336144,50,1998,3
"54",1999-03-16,4.29377864056864,32.4905137229991,50,1999,3
"55",2004-03-24,3.6075030917915,33.162942013985,50,2004,3
"56",2007-03-12,3.6630850148201,32.4327199077606,50,2007,3
"57",2008-03-09,3.88410285989201,32.58520047637,50,2008,3
"58",2009-03-23,4.2241414147194,32.8380197018993,50,2009,3
"59",2010-03-06,5.17353072458384,32.7888160238461,50,2010,3
"60",2011-03-13,5.14601998647054,32.4339424959819,50,2011,3
"61",2012-03-18,6.03111246047535,32.632275235992,50,2012,3
"62",2013-03-14,5.83749524920345,33.1157005949374,50,2013,3
"63",2014-03-06,3.96753459862677,32.7062270799001,50,2014,3
"64",1984-04-23,3.24496783915693,31.9619422052687,50,1984,4
"65",1985-04-08,3.12704713344279,32.0047267085133,50,1985,4
"66",1987-04-12,3.77346141727613,32.2663471685529,50,1987,4
"67",1988-04-15,2.53168948899465,32.4230989388264,50,1988,4
"68",1991-04-11,4.49264951025499,32.4034504496262,50,1991,4
"69",1992-04-12,3.37276275409119,32.0682525700283,50,1992,4
"70",1993-04-22,3.96779771297932,31.9670944697478,50,1993,4
"71",1994-04-19,4.76495653129106,32.465227004513,50,1994,4
"72",1995-04-20,4.54143446733151,32.2770057573602,50,1995,4
"73",1996-04-20,4.27745167477222,31.9989676467674,50,1996,4
"74",1997-04-17,4.15672273828206,32.1294640224775,50,1997,4
"75",1998-04-13,4.28789743973862,31.5229334029519,50,1998,4
"76",1999-04-16,4.99188692912529,32.2242261425504,50,1999,4
"77",2000-04-18,5.79941883747004,32.6085111252607,50,2000,4
"78",2001-04-21,4.67458608287258,32.0394840467761,50,2001,4
"79",2002-04-18,5.7849198637594,32.4821359248187,50,2002,4
"80",2003-04-20,4.17659772793874,32.5175850524043,50,2003,4
"81",2004-04-18,3.67159984612015,32.4121671442604,50,2004,4
"82",2005-04-18,4.59435397653623,31.8889685541643,50,2005,4
"83",2006-04-11,5.09123645160543,32.3609924457009,50,2006,4
"84",2007-04-17,4.38406570378087,32.5358914702152,50,2007,4
"85",2008-04-20,4.85177014682353,32.2936676020068,50,2008,4
"86",2009-04-16,4.64503260613473,32.3741044062326,50,2009,4
"87",2010-04-20,5.64986658381496,31.7672307838107,50,2010,4
"88",2011-04-21,5.46428820035612,32.0861186731209,50,2011,4
"89",2012-04-19,6.79886572785627,32.4259992024196,50,2012,4
"90",2013-04-17,5.45781141570632,32.5863560061224,50,2013,4
"91",2014-04-23,5.41023535584647,32.6892750427138,50,2014,4
"92",2015-04-22,4.88110996223688,32.7063691179021,50,2015,4
"93",2017-04-20,5.61943919309496,32.5376361194257,50,2017,4
"94",2018-04-15,4.82846028501904,31.9984025026187,50,2018,4
"95",2019-04-17,5.05585656620708,32.3212600762504,50,2019,4
"96",1976-05-19,7.7296102776999,32.5094720080792,50,1976,5
"97",1978-05-28,6.59486012378715,31.6202738274832,50,1978,5
"98",1979-05-21,6.31508401374189,31.9939648437527,50,1979,5
"99",1984-05-18,5.41246450096981,32.2903535481927,50,1984,5
"100",1985-05-10,4.3949310855739,32.0605124387189,50,1985,5
"101",1987-05-18,6.11732002258301,32.3157120742798,50,1987,5
"102",1989-05-23,7.05201825696606,32.5309742029696,50,1989,5
"103",1992-05-21,5.36787718639039,31.0471825700057,50,1992,5
"104",1995-05-15,4.94385601781663,32.3019171383916,50,1995,5
"105",1996-05-15,5.91665332730611,32.1832840194702,50,1996,5
"106",1997-05-22,6.61666244620274,32.2600248378612,50,1997,5
"107",1998-05-19,5.97092468108998,31.8162312664306,50,1998,5
"108",1999-05-25,7.21588732115524,32.1385104994447,50,1999,5
"109",2000-05-06,6.10510217110168,31.9983926551812,50,2000,5
"110",2001-05-02,3.97725904706522,32.1962433908003,50,2001,5
"111",2002-05-29,8.6528571673802,32.6767550098653,50,2002,5
"112",2003-05-28,6.47343204884929,32.6589565589149,50,2003,5
"113",2004-05-12,5.7642014517774,32.5963534131363,50,2004,5
"114",2005-05-10,6.16118199889146,31.9856053639269,50,2005,5
"115",2006-05-13,6.98309716002674,32.400033238385,50,2006,5
"116",2007-05-29,6.68075883529683,32.1180260667534,50,2007,5
"117",2008-05-07,6.19256827950072,32.4150384355838,50,2008,5
"118",2009-05-03,5.24009374169354,32.1386259123797,50,2009,5
"119",2010-05-01,6.84978856787482,31.4534059306462,50,2010,5
"120",2011-05-07,6.0961847519295,31.6504822322922,50,2011,5
"121",2012-05-06,7.62597091365121,32.6051676669106,50,2012,5
"122",2013-05-04,7.01556160064748,32.3628801210015,50,2013,5
"123",2014-05-21,7.11579470129164,32.25532890177,50,2014,5
"124",2015-05-12,5.66259026833559,32.5188198800143,50,2015,5
"125",2016-05-24,7.9204717295718,32.457085298399,50,2016,5
"126",2017-05-08,6.30359656116066,32.0194454017822,50,2017,5
"127",2018-05-12,7.11878257961079,32.3837925029624,50,2018,5
"128",2019-05-08,6.01323514483439,32.1757443509797,50,2019,5
"129",1984-06-19,8.17936714778969,32.0352103998559,50,1984,6
"130",1985-06-08,6.62446960675128,32.2482756720852,50,1985,6
"131",1986-06-21,9.3511660351436,32.9225879659408,50,1986,6
"132",1988-06-17,8.16873966481207,32.4860548742008,50,1988,6
"133",1989-06-06,8.33599291016238,32.3031538940499,50,1989,6
"134",1992-06-27,7.90487180612026,31.3283845950396,50,1992,6
"135",1993-06-06,8.23582840400781,32.2722530539028,50,1993,6
"136",1994-06-24,9.06229999228362,32.607449174707,50,1994,6
"137",1995-06-10,7.14855532525584,32.1402492852331,50,1995,6
"138",1996-06-08,6.71432571182412,31.785685620338,50,1996,6
"139",1997-06-28,8.50193157351905,32.1776309756242,50,1997,6
"140",1998-06-11,7.68326620675317,31.5877821525883,50,1998,6
"141",1999-06-14,9.02486168615071,32.2342139716073,50,1999,6
"142",2000-06-05,8.34192984858851,32.2273277314171,50,2000,6
"143",2001-06-03,6.6002431742744,32.0693231100317,50,2001,6
"144",2002-06-03,8.16095533323503,32.4092573564462,50,2002,6
"145",2004-06-05,6.32779286855202,32.2693681118715,50,2004,6
"146",2005-06-05,6.43324836655654,31.7403566439952,50,2005,6
"147",2006-06-11,8.28602549160614,32.1033725119866,50,2006,6
"148",2007-06-02,6.82903748787762,32.4227673761681,50,2007,6
"149",2009-06-10,8.12443692372744,32.2781849481301,50,2009,6
"150",2010-06-10,8.80581276388823,31.944778032114,50,2010,6
"151",2011-06-15,8.76505998327423,31.731983020348,50,2011,6
"152",2012-06-15,10.33442066628,32.6562783334566,50,2012,6
"153",2013-06-13,9.05610861555732,32.0823538569872,50,2013,6
"154",2015-06-05,7.75698506623324,32.4614973624019,50,2015,6
"155",2016-06-07,8.86216872896101,32.0819123723635,50,2016,6
"156",2017-06-04,7.54370848930677,31.962683670076,50,2017,6
"157",2018-06-06,8.5482952383819,32.0795464926415,50,2018,6
"158",2019-06-03,7.40736810401832,32.0739635218373,50,2019,6
"159",1978-07-17,9.86154394354296,31.8545248894008,50,1978,7
"160",1985-07-11,10.6388884429371,32.6312566622566,50,1985,7
"161",1987-07-30,10.6951171262718,32.1259809199881,50,1987,7
"162",1988-07-04,9.25060143651226,32.5998054417563,50,1988,7
"163",1991-07-27,9.73722323748709,32.0432435069463,50,1991,7
"164",1992-07-21,8.21094527395073,31.6080928053435,50,1992,7
"165",1993-07-25,9.8397485226075,31.9911644300933,50,1993,7
"166",1994-07-26,10.8413869782372,32.1873897061793,50,1994,7
"167",1995-07-19,10.9648015249239,32.4339692324497,50,1995,7
"168",1996-07-02,6.28254592376874,31.846614415594,50,1996,7
"169",1997-07-14,10.6086460405575,31.5104915111005,50,1997,7
"170",1998-07-11,8.16753964272811,31.785364062692,50,1998,7
"171",1999-07-11,10.7941384646747,32.6320143208476,50,1999,7
"172",2000-07-11,10.4058974150116,32.5008070934103,50,2000,7
"173",2001-07-17,8.99066732199408,32.0582037008723,50,2001,7
"174",2002-07-09,10.2903645893508,32.6647715144177,50,2002,7
"175",2003-07-05,8.74083695116484,32.4997523207542,50,2003,7
"176",2004-07-14,7.32411227808598,32.154272836768,50,2004,7
"177",2005-07-08,8.34020073564542,32.1784190993899,50,2005,7
"178",2006-07-11,10.7267261072703,32.4493004154485,50,2006,7
"179",2007-07-17,8.82115354139862,32.1876349566357,50,2007,7
"180",2008-07-11,9.99973309129995,32.4485908468981,50,2008,7
"181",2009-07-18,10.400940355884,31.4677132913709,50,2009,7
"182",2010-07-12,10.4001222143577,32.1996449685529,50,2010,7
"183",2011-07-11,9.58125433029693,31.954627025876,50,2011,7
"184",2012-07-12,12.4053319240814,32.7390580525494,50,2012,7
"185",2013-07-08,10.0481268531474,32.4472131029313,50,2013,7
"186",2014-07-23,8.98445878793083,32.2349824485195,50,2014,7
"187",2016-07-27,17.7543999290466,33.8820798492432,50,2016,7
"188",2018-07-04,11.3371499633789,32.2534000492096,50,2018,7
"189",1976-08-21,12.7546243004728,32.6345429594458,50,1976,8
"190",1979-08-09,11.599927332715,32.9240186442748,50,1979,8
"191",1982-08-18,11.1754111366802,32.771642665863,50,1982,8
"192",1986-08-12,12.0982512378693,32.713181713502,50,1986,8
"193",1987-08-03,10.1782505112974,32.1518140605574,50,1987,8
"194",1991-08-09,9.55185252037458,31.8029411833541,50,1991,8
"195",1992-08-10,9.27139718309773,31.9260104025281,50,1992,8
"196",1993-08-09,9.4322013719605,31.7787129835262,50,1993,8
"197",1994-08-07,11.6816897889384,32.6918288980212,50,1994,8
"198",1995-08-20,11.4451498901812,32.0400826583104,50,1995,8
"199",1996-08-20,10.1363335822515,31.9727336835071,50,1996,8
"200",1997-08-11,11.207680319138,31.8057894458793,50,1997,8
"201",1998-08-18,9.27836346708385,31.9626286006168,50,1998,8
"202",1999-08-18,11.9965861281718,32.7934898873924,50,1999,8
"203",2000-08-21,12.2533992844558,32.5038364586962,50,2000,8
"204",2001-08-18,10.5072608414392,32.0487859062665,50,2001,8
"205",2002-08-24,12.8710628340537,32.638305401575,50,2002,8
"206",2003-08-23,11.4899085964941,32.064359419493,50,2003,8
"207",2004-08-24,10.1750065130134,32.204864449165,50,2004,8
"208",2005-08-18,10.9009667126936,31.854297364226,50,2005,8
"209",2006-08-22,12.0415766905813,32.370378006971,50,2006,8
"210",2007-08-20,10.6466830312864,32.3636077305114,50,2007,8
"211",2008-08-21,11.521221537576,32.316275402155,50,2008,8
"212",2009-08-27,13.0368156308656,32.3164703338476,50,2009,8
"213",2010-08-21,12.3130883177932,32.2542091373869,50,2010,8
"214",2012-08-21,13.6676723849873,32.4765576903779,50,2012,8
"215",2013-08-23,11.6376911777482,32.5972426039289,50,2013,8
"216",2016-08-17,13.7090419826007,32.4840148389722,50,2016,8
"217",2019-08-26,12.4718159747545,32.2247994093582,50,2019,8
"218",1978-09-15,11.5153687697164,32.020067291812,50,1978,9
"219",1986-09-02,13.9202091304305,32.7420063891442,50,1986,9
"220",1987-09-12,11.2802208714549,32.2940121032934,50,1987,9
"221",1990-09-19,11.5437668448366,32.6799547080032,50,1990,9
"222",1992-09-03,9.76043269120277,32.3036202847788,50,1992,9
"223",1993-09-19,11.4350682403434,31.9153396787756,50,1993,9
"224",1994-09-09,15.788325668356,31.7409905647322,50,1994,9
"225",1995-09-15,12.092178293795,32.2244574440317,50,1995,9
"226",1996-09-24,10.8696382469991,31.677269272034,50,1996,9
"227",1997-09-12,11.8808127374506,32.0344324604523,50,1997,9
"228",1998-09-06,10.2822645693053,31.5915206208279,50,1998,9
"229",1999-09-17,13.6592166947629,32.8905427943114,50,1999,9
"230",2000-09-24,14.0000500159889,32.5202822747841,50,2000,9
"231",2001-09-14,11.8884896437145,32.1801010213646,50,2001,9
"232",2002-09-16,13.7530439327813,32.6310283690464,50,2002,9
"233",2003-09-16,11.936953111821,32.3884042448497,50,2003,9
"234",2004-09-17,11.511427146118,32.1553740457695,50,2004,9
"235",2005-09-20,11.9227539665737,31.8685623560658,50,2005,9
"236",2006-09-17,12.9135105184523,32.268978507989,50,2006,9
"237",2007-09-08,11.2652666266759,32.06991994222,50,2007,9
"238",2008-09-19,12.7362554276263,32.3000956281206,50,2008,9
"239",2009-09-22,12.9798537590744,32.2342130684865,50,2009,9
"240",2010-09-20,13.6988182969626,32.0271243528229,50,2010,9
"241",2011-09-16,13.3888792851973,31.9545438830203,50,2011,9
"242",2012-09-20,13.9165118205293,32.6447506186568,50,2012,9
"243",2013-09-02,11.9650039964676,32.6811252788544,50,2013,9
"244",2014-09-10,13.5660644827375,32.4182097587364,50,2014,9
"245",2015-09-29,12.5310914451699,32.3142585506484,50,2015,9
"246",1979-10-20,12.3305572174168,33.6798342485185,50,1979,10
"247",1981-10-28,10.2403524235869,32.1033960933883,50,1981,10
"248",1988-10-10,12.2652652272172,32.4670705404,50,1988,10
"249",1990-10-12,12.5720706395562,32.4415694642617,50,1990,10
"250",1991-10-15,11.5350069956563,32.3894047260105,50,1991,10
"251",1992-10-22,10.4138647181945,32.1492830563987,50,1992,10
"252",1993-10-15,10.882618556033,32.4382234891884,50,1993,10
"253",1994-10-19,11.9153963353097,32.7301760019205,50,1994,10
"254",1995-10-16,11.9759370558738,32.4753532944952,50,1995,10
"255",1996-10-18,11.0167878341498,31.9829237143775,50,1996,10
"256",1997-10-20,11.1606807033317,32.3979985301567,50,1997,10
"257",1998-10-24,9.96633158881719,32.0252899555124,50,1998,10
"258",1999-10-23,12.1825975282304,33.105307619259,50,1999,10
"259",2000-10-11,12.3221735311457,32.62586091367,50,2000,10
"260",2001-10-13,11.8146087914867,32.3540279297456,50,2001,10
"261",2002-10-18,12.8104309622657,32.9017200871815,50,2002,10
"262",2003-10-17,11.3396343777986,32.660027637573,50,2003,10
"263",2004-10-18,11.1946002732352,32.1286664418374,50,2004,10
"264",2005-10-18,11.7865547534861,32.2159421926415,50,2005,10
"265",2006-10-13,12.4106104184925,32.4769676279313,50,2006,10
"266",2007-10-20,11.1589976758851,32.4698648215395,50,2007,10
"267",2008-10-15,11.8218272549108,32.2731731149774,50,2008,10
"268",2009-10-13,12.1048232943006,32.0757454606557,50,2009,10
"269",2010-10-18,11.9447327707461,32.5138786322885,50,2010,10
"270",2011-10-13,12.956647464145,31.9991572902151,50,2011,10
"271",2012-10-12,13.44063229563,33.0505135407584,50,2012,10
"272",2013-10-16,12.2951151396872,32.6627103973432,50,2013,10
"273",2014-10-25,12.9358677882935,32.6787241612778,50,2014,10
"274",2015-10-22,12.5187180609173,32.6785395355292,50,2015,10
"275",2016-10-20,13.7192792469277,32.6812679963647,50,2016,10
"276",2017-10-24,13.4456146747643,32.3403678954083,50,2017,10
"277",2018-10-12,13.8605809157874,32.244482646219,50,2018,10
"278",2019-10-27,12.9375065073797,32.188147542319,50,2019,10
"279",1987-11-25,8.43156385681846,32.2191519199718,50,1987,11
"280",1988-11-06,9.58547771248504,32.4634669575198,50,1988,11
"281",1989-11-09,10.5709472670965,32.3926814471834,50,1989,11
"282",1990-11-02,11.1144470220231,32.5188643885263,50,1990,11
"283",1991-11-07,10.5084013890948,32.0990173225634,50,1991,11
"284",1993-11-05,10.1387968002669,32.140012586777,50,1993,11
"285",1994-11-11,10.9428532091264,32.9357806353415,50,1994,11
"286",1995-11-25,9.95422405350301,32.5153777105739,50,1995,11
"287",1996-11-09,10.1100905916708,31.904938825115,50,1996,11
"288",1997-11-08,10.1747921156843,31.6495339066062,50,1997,11
"289",1998-11-10,8.563018831808,31.9529754682516,50,1998,11
"290",1999-11-09,10.6307900586114,32.7577184671515,50,1999,11
"291",2000-11-13,10.4511680670921,32.4231664096321,50,2000,11
"292",2001-11-13,9.55100300977361,32.7877280600128,50,2001,11
"293",2002-11-12,10.7502916595341,33.0057465649849,50,2002,11
"294",2003-11-11,10.2569283886972,32.6554893724158,50,2003,11
"295",2004-11-14,8.99808372083676,32.0828631340495,50,2004,11
"296",2005-11-10,10.2356296832158,32.0773217425812,50,2005,11
"297",2006-11-11,10.6043777633477,32.8304188769235,50,2006,11
"298",2007-11-10,9.94294874727196,32.510408514272,50,2007,11
"299",2008-11-07,10.6415110095371,32.4106060453339,50,2008,11
"300",2009-11-12,10.6182814272333,32.4172399392356,50,2009,11
"301",2010-11-14,10.4730600953711,32.7801080076625,50,2010,11
"302",2011-11-11,10.8313934936962,32.1967926109981,50,2011,11
"303",2012-11-04,12.2930662435708,32.817768345187,50,2012,11
"304",2013-11-14,10.4426481437694,32.8564643903441,50,2013,11
"305",2014-11-08,11.7321223424249,33.0953251631509,50,2014,11
"306",2015-11-03,11.513970619385,32.8577393757831,50,2015,11
"307",2016-11-05,12.2158380005706,32.8506887515481,50,2016,11
"308",2017-11-09,11.859313517208,32.6396860312666,50,2017,11
"309",2018-11-04,11.3464473818301,32.5850839656347,50,2018,11
"310",2019-11-06,11.7631282740106,32.5783022312188,50,2019,11
"311",1988-12-03,7.94938437092195,32.5112036558823,50,1988,12
"312",1989-12-04,7.13419755700364,32.6742946296223,50,1989,12
"313",1990-12-02,8.61385492292288,32.7243472552448,50,1990,12
"314",1991-12-05,8.22956562738526,32.4090177123425,50,1991,12
"315",1992-12-08,7.06237722500032,32.1079267949382,50,1992,12
"316",1993-12-03,8.57466294950223,32.2734381599363,50,1993,12
"317",1994-12-06,9.30714299727459,33.1528774962133,50,1994,12
"318",1995-12-01,9.41841211203424,32.6508258752958,50,1995,12
"319",2003-12-19,6.45250011073562,32.3526106359654,50,2003,12
"320",2010-12-01,9.16271165677236,32.7513987575772,50,2010,12
"321",2011-12-05,9.94662875584644,32.1242499245421,50,2011,12
"322",1979-01-23,4.82856770598011,33.029829680868,100,1979,1
"323",1989-01-12,5.95407318177819,33.1546647672774,100,1989,1
"324",1990-01-08,5.01756501806405,33.220276473693,100,1990,1
"325",1991-01-07,7.10300150280508,33.1658114308264,100,1991,1
"326",1992-01-11,6.71648258491267,32.5825031911917,100,1992,1
"327",1993-01-09,6.22159298271865,32.7486696961318,100,1993,1
"328",1994-01-12,5.51027213687785,32.676606787798,100,1994,1
"329",1995-01-16,7.03146038934092,33.0363842052235,100,1995,1
"330",1996-01-17,6.6241600151062,33.1730841064453,100,1996,1
"331",1997-01-26,5.69785949512589,32.4086342755844,100,1997,1
"332",1998-01-23,5.56489675938237,32.295385322267,100,1998,1
"333",1999-01-22,5.94308367320447,32.7937941563291,100,1999,1
"334",2002-01-26,6.6057390416858,33.0594061924344,100,2002,1
"335",2003-01-25,6.06384410832467,33.3972324265374,100,2003,1
"336",2004-01-26,5.40525711400168,33.4266714695522,100,2004,1
"337",2005-01-29,4.76059162959763,32.3604567228434,100,2005,1
"338",2006-01-27,6.3918881309879,32.9558334216278,100,2006,1
"339",2007-01-30,6.88186933755722,33.223295804141,100,2007,1
"340",1984-02-13,5.73548734863929,32.9416255996441,100,1984,2
"341",1985-02-13,5.21462997353079,32.7086295758474,100,1985,2
"342",1987-02-09,5.55555802584336,33.0184548288868,100,1987,2
"343",1990-02-27,4.81224995613098,33.2984500694275,100,1990,2
"344",1991-02-10,5.62287609843329,33.1078811025918,100,1991,2
"345",1992-02-06,5.22587037272033,32.7162844923115,100,1992,2
"346",1995-02-17,7.06807400067647,33.4812948099772,100,1995,2
"347",1996-02-21,5.75806667725245,33.086690196991,100,1996,2
"348",1997-02-19,5.15922554126153,32.4360108331534,100,1997,2
"349",1998-02-16,5.52516716528721,32.6320458678607,100,1998,2
"350",1999-02-17,6.85371548376794,33.2089307132295,100,1999,2
"351",2000-02-23,5.37730890326116,33.1559644833488,100,2000,2
"352",2001-02-22,5.9044124990447,33.0290152094915,100,2001,2
"353",2002-02-26,6.12001350084941,33.1321966920076,100,2002,2
"354",2003-02-26,5.24278002738953,33.4790700531005,100,2003,2
"355",2004-02-14,4.8078999710083,33.3675,100,2004,2
"356",2005-02-08,4.81529822207004,32.3828838517499,100,2005,2
"357",2006-02-04,8.13725449790657,33.736354458659,100,2006,2
"358",2007-02-03,6.74701787115581,33.2677297967912,100,2007,2
"359",2008-02-13,5.20795471254033,33.1163460559209,100,2008,2
"360",2009-02-10,5.04591612378488,33.0775878397688,100,2009,2
"361",2010-02-16,5.400135661725,32.7936951540715,100,2010,2
"362",2011-02-14,5.55225607166176,32.6009836078046,100,2011,2
"363",2012-02-10,6.84004480747055,32.9698969370721,100,2012,2
"364",2013-02-20,6.07861052600514,33.2298468326587,100,2013,2
"365",2017-02-21,7.29294997760944,33.3815482945715,100,2017,2
"366",1979-03-23,3.71484546396371,33.2489066230958,100,1979,3
"367",1984-03-25,3.93276509885792,33.0959803927547,100,1984,3
